,country,score,topic,review,category,sentiment
879,Hong Kong,2,Unblock,Cannot unblock someone,bug report,neutral
880,United Kingdom,5,Great app,Use all the time now.,other,positive
881,Australia,1,VERY ANNOYED,Updated my Facebook today for nothing! It will let me in for two seconds and then the app crashes! How annoying!!!! Please fix this. Shouldn't have updated it. I'll know for next time. ï¿½,bug report,negative
882,United States,4,Instagram,Good Instagram,other,positive
883,South Africa,1,No contact list? Is this Snapchat?,Mark I get it. You want to buy everything but by doing that and then making them all alike is going to make those apps redundant. Whatsapp is a messaging up. We don't need live updates! Please bring back the contact list.,requirement,negative
884,United States,5,Love it!,I love all the info!,other,positive
885,Hong Kong,1,Update makes it worse,The last update has disabled my iPhone's ability to upload photos to Facebook. The app freezes or quits itself. Frustrating,bug report,negative
886,Canada,5,the best in the world!the best appvery easythe best of the kindGale-ROYAmazing!!,"AMAZING!!! this app is exactly what Iâ€™m looking for. It's easy to use. You don't have to do all those very hard stuff but this is really good if you're willing to get more followers. OMG! This app is worth it. Unlike other apps this one really fulfills has LIKES: Its really good for likes, it gives me even more than I ask for FOLLOWERS: It gives you real followers. Highly to recommend if you want more likes. This is the best app ever to be all to get 1000 followers on Instagram. Itâ€™s very simple and if yobeen the best application ever in terms of getting more likes and more followers pro on instragram.I really love it. Honestly..this is one of the best apps to help you get a huge followers! No jokes! This app is the real deal..i just love it!! well I find it super easy to use and actually magic liker it. There's no tricks or gimmicks I love it app I have ever used in a long time!!! it works properly and actually very fun best likes app in the world they will allow you to get free likes for free 1000 followers instagram for instagram. I Have tried so many apps and nothing compares to this appâ€¦ I really enjoy this app. Itâ€™s an awesome app, as it is easy to use, help",requirement,positive
887,Canada,5,Good,Good,other,positive
888,Singapore,5,Awesome!,Love the entire app. Awesome!,other,positive
889,India,1,Useless updates.,Again today(29/05) ? Why are giving updates daily?,bug report,negative
890,United Kingdom,5,Mrs bailey,Very good app always works well no problems,other,positive
891,Canada,5,Decent,"Usually always runs smoothly, almost never experience anything bad or too glitchy.",requirement,neutral
892,South Africa,1,Hate this feature,I hate it when u follow a lot of people at once it blocks u ??ease change the feature or take it away !!!!!!,bug report,negative
893,Hong Kong,1,ï¼,"contact,
  down grade d!
 
 Poor update !!!
 I can't find my contact ,
 Not user friendly anymore !!!!",bug report,negative
894,Hong Kong,4,Good app,"Cannot open the app after latest update, but it is ok now after restart iphone",requirement,positive
895,Australia,5,Marcelle0,I like Facebook because it keep me in touch with friends and my family. It's fun and entertaining. Great appï¿½,other,positive
896,United States,5,Awesome app,Love it!!!! Use it every day!!,other,positive
897,Australia,4,Good but constantly updating,It's pretty good. Only exception is the hundreds of megabytes of updates it insists on updating a few times a week without any explanation.,bug report,positive
898,United States,5,App is awesome,Use it frequently and is the best app out there for my needs.,other,positive
899,United States,5,Dude,You have swallowed my soul!,noise,neutral
900,India,5,Notification sound for whatsapp video call on apple smartwatch!,"Thank you for finally adding a notification sound for whatsapp video call on apple smartwatch. Now the calls are not missed.
 
 I would love to see a feature where I can reply what'sapp calls directly from my watch! Thanks! Happy coding :)",requirement,positive
901,South Africa,5,Perfect,Just great ?keep it up,other,positive
902,United States,5,ama-Waze,Amazing app. Best part is constant updates by users & the trip planning!,requirement,positive
903,Australia,4,Good for ideas but sometimes has difficulties.,Once you have determined (from the picture shown) what you would like it is often difficult to get to the actual site or tutorial.,bug report,positive
904,Hong Kong,3,Favourites,"i want the list ""Favourites"" back",requirement,neutral
905,India,3,Memory eater,"App size is increasing like a anything, there should be an option to clear cache memory.",bug report,neutral
906,Hong Kong,2,ï¼»bugï¼½ Tab,Tab,noise,neutral
907,Singapore,1,"bring the ""like"" button back!","why did they remove the ""like"" feature?? BRING IT BACK",requirement,negative
908,United States,3,I love instagram but..,They let these huge accounts post spam ads ALL THE TIME multiple accounts will post the same thing about dumb products that don't exist or are spam and when report them nothing happens. I guess you can say I loved the OLD instagram.,bug report,negative
909,United States,1,Stop updating!!,"I feel like almost every week there is an update for this app. Enough is enough!! Really, how many updates do I have to do in a week?!?! Is this really necessary? Can you reduce this to 1 update a season or even a month? This is insane. There is more than 1 per week. Make it stop already. Messenger is also doing the same: updates once a week or more. Seriously FB, as a company, this is something that as a company you must strive for: being less annoying.",bug report,negative
910,Australia,3,I can't like posts by people,Everytime I like something it says please wait 2 minutes blah blah I'm really disappointed.. please fix asap,bug report,negative
911,Hong Kong,1,Annoying!,Too many ad makes me feel sick,bug report,negative
912,United States,4,6/18/17 EDIT: Which one is Popular?!,"I don't like that I searched for something (date is: 6/28/17) and that I can't see which PIN is the most popular/will give me the best results....! The whole reason I PIN is to get ideas/suggestions from those who have engaged in my query before ?.... 
 
 Before 6/18/17....
 
 ...Easy to Navigate!
 
 I enjoy using my pinterest app all the time! I use it for recipes and crafts, and when I'm feeling motivated I use it for exercise tips and dream travel destinations. This app is so addictive!",requirement,neutral
913,United Kingdom,4,I like it but can we have moreâ€¦,"The app is getting better every time 
 Thanks!
 But Can we have more shoe &handbag emojis please for us girls
 I mean nice shoes!!!!",other,positive
914,Australia,1,Can't log in,"everytime i try to log in it doesn't let me it always says ""sorry there was a problem with your request"" and it's been like this for about 2 weeks. please fix this thanks",bug report,neutral
915,Hong Kong,1,The Privacy problem,"Why I can't see this button ""Don't share my info to facebook"" after I updated to this 2.17.22version???And pls tell me why always jump to the page of ""agree and conditions""
 ï¼Ÿ??????pls fix it !!!!",bug report,negative
916,Canada,1,Blurry uploaded videos / low resolution,"After uploading videos Instagram distorts my file. Now they seem very muddy. Thanks Instagram for ruining great footage. No point in shooting in 1080p anymore
 
 Also my videos appear to be blurry. Also what up with this new update looks like everyone on instagram very excited about it haha
 
 Too many adds 
 way too many fake accounts
 ruined my high quality video files",bug report,negative
917,Hong Kong,5,2.17.30,"IOS10.3.1,
  WhatsApp ï¼Œ ï¼Œ
  "" "", send 
  ï¼Œ",noise,neutral
918,India,5,WhatsApp Keeps me with my friends and relatives,Very nice app which I use almost daily to keep in touch with my near dear ones.,other,positive
919,Hong Kong,3,Can't add photo book,"After update the new version,can't add new photo book on Facebook",bug report,neutral
920,United Kingdom,4,Mr Sibanda,Great app for saving time in london especially at peck times,other,positive
921,United Kingdom,1,Get your own ideas???,"Honestly every single update is exactly what Snapchat has. Are you not capable of getting your own ideas?? Stop copying snapchat it's honestly so annoying. I used to like Instagram, now it's my least favourite social media app.",bug report,negative
922,India,1,Doest not support most of emojis,Whatsap doesnt support most of the emojis which is send to me from other andriod phones it's going on from past 3-4 months doesn't support new emojis work hard on it.,bug report,neutral
923,United Kingdom,4,I like it but,I think its too much like Snapchat with the filters but I like it,bug report,positive
924,Australia,5,Great,I love the app have used it for about a year and it has helped me understand more about having a balanced diet and has helped me maintain my weight.,other,positive
925,United States,4,Show Me The Waze (updated review),"UPDATE TO REVIEW: the current version of Waze (as of 05/08/17) almost always needs to be closed and reopened for the maps to fill my phone's screen. 
 
 UPDATE TO REVIEW (05/08/17): what happened to the notifications of other Wazers finding road reports helpful? The thumbsup and red ""it's not there"" reporting icons are still there, but I don't receive the notifications in my inbox letting me know other Wazers found my reports helpful. 
 -----
 
 I absolutely love this app. I've used Waze and my Garmin (updated maps) at the same time, and Waze, in my opinion, is much better because I have fellow Wazers out there alerting to road hazards, police sightings, current gas prices, and so forth. Personally, I don't need voice-assisted routing (in most cases); therefore, I mute my Waze app - no alert sounds, etc. Keeping in mind that all apps, programs, etc., have glitches from time to time, I wish reporting incorrect addresses could be done differently and easier. On more than one occasion, I've had Waze direct me to a rural business only to find out that the business is, for example, .5 miles further down the road. 
 
 Not a complaint, but it would be nice if we had more ""moods"" to choose from. Also, I'd like a way to add friends without allowing the app access to Facebook or my contacts. 
 
 Great app though. I use it every day for my commute to and from work - the police trap reports are invaluable to me!! I recommend Waze to all my friends.",requirement,neutral
926,Singapore,5,Instagram,It's good no bugs glitches,other,positive
927,Australia,4,Good App,I enjoy using it. I do however get p***ed if I can't like or add something because someone has deemed my posts inappropriate or whatever. It's very annoying!!,bug report,negative
928,United States,5,review,excellent,other,positive
929,Canada,1,WAY TOO MANY ADS it's a total garbage app now,WAY TOO MANY ADS NOW! Instagram is absolutely awful to use now that there's an ad every 5 photos. Completely wrecks the experience. HATE IT,bug report,negative
930,India,1,Unable to login,"Plz fix this app ! What's wrong with this new update ? When ever I try to log in my a/c it says that ""sorry, there was a problem with your request "" immediately Fix this bug !! I tried everything to login but no use of that",bug report,neutral
931,India,5,Calling,Dear team in my phone whatsapp 3G calling not available so please do something to I use 3G calling in my whatsapp,bug report,neutral
932,Canada,5,Update,Make an update where you can see who you've have a pending follow request with,requirement,neutral
933,United Kingdom,4,Great app but unstable,Great app when you're able to review things though currently unstable and constantly crashing,bug report,positive
934,Australia,1,So frustrating,Bring back chronological order!,requirement,negative
935,Australia,1,Why,It keeps crashing since the new update,bug report,neutral
936,India,3,Archived pictures not appearing after reactivating my Instagram account,I archived some pictures and deactivated my Instagram acc when I activated it again the archived post doesn't not appear please fix this problem,bug report,neutral
937,Singapore,3,No face filter,I have updated the app to the latest version. Re-install it as well. Still no face filter on my story. Why is it certain accounts has this error? Appreciate if this error is fixed soon!,requirement,neutral
938,Hong Kong,1,,"ï¼
  ã€lock",noise,neutral
939,United States,5,Opinion,Love this app,other,positive
940,India,5,Gr888 App,Please add passcode for whatsapp. Every time I looking for this update plz plz plz plz plz plz plz add passcode ..,requirement,positive
941,India,5,Newsfeed video auto play,Lately I am experiencing that videos do not play automatically in the newsfeed. I am using an iPhone 5. Please look into it.,bug report,neutral
942,United States,2,Crashes,Need to fix. Crashes before opening.,bug report,neutral
943,Australia,1,Please Remove Ads,"Instagram used to be my favourite social media app, but now there are so many ads in my feed it's impossible to even see my own friends photos- please reduce the number of ads Instagram! They are frustrating and mostly completely irrelevant. I would even be happy to pay for an ad free version- it's that ridiculous.
 
 Also the way notifications are shown in groups now means I am constantly missing comments or likes from friends that I would usually reply to. It was much simpler and easy to see before.",bug report,negative
944,United Kingdom,5,Great ap,I have enjoyed working with Myfitnesspal ap and find it help to understand about food and why when trying to diet it can be very hard to stick to a plan thank you.,other,positive
945,Hong Kong,5,Excellent navigation apps,"No doubt this is one of the best navigation apps. 
 Simple to use and user friendly UI.",requirement,positive
946,India,2,Using large data,Insta consumes more data than any other. Kindly find a solution and fix it.,bug report,neutral
947,Canada,1,Recent posts,"Wish there were a place to request most recent posts to display first in my feed. I dislike when I find recent posts farther into the feed. 
 6/8/17-Facebook still hasn't addressed/corrected my concerns about Most Recent Posts being all over the place. Constantly have posts four or five days old showing at the top of the feed, when no one has commented or reacted to it yet posts minutes old appear quite a way from the top.",requirement,neutral
948,United States,3,PROBLEMS,"i will update my app, like any other person, and the update will not actually happen. most people i know have this new archive photos update and i do not. i'm not sure why. I don't know how to get it but i'm missing out.",bug report,neutral
949,India,1,Less than the expectation,"Frequent updates, Lot of app size (which includes data). Rest the app is running smoothly.",bug report,negative
950,Singapore,3,Contact List GONE!,"Contact List GONE! 
 Please bring back the contact list soonest",requirement,neutral
951,United States,3,It doesn't let me log into my second account,"It always tells me there's an error, I really hope you guys can fix that asap .",bug report,neutral
952,India,2,Bugs,Cant update my profile pic with this version,bug report,neutral
953,United Kingdom,5,the best onemore followers there,"I thinkI like4like to use this app to get more followers so that i can promote my instagram account and I recommend this to anyone who wants to get out there as the followers will come as more likes happen ! The best likes app in the world they will allow you t this app is the best one ever all the other one u have to pay and all that stuff but ye,I love it u should get it now It works super",other,positive
954,Hong Kong,3,,ï¼Ÿ,noise,neutral
955,Hong Kong,1,new post,"Can't update the new post , the existing post show repeatedly.
 Please fix it",bug report,neutral
956,Hong Kong,1,Video playing,"Why we cannot select ig video NOT auto playing? So annoying, inconvenient and data concern!",bug report,negative
957,United States,1,Facebook mobile app,Don't wait space on your phone. App takes up increasingly more and more memory space with each update. Updates don't improve user experience at all. The only thing that's really updated are underlying fishing programs that run through your device mining information that's sold for the ever increasing targeted ads Facebook makes millions off of every day. All of the mobile app features are available through your basic internet search connection without all the hidden fishing programs which slow down the operation of devices too.,bug report,negative
958,United States,5,Best deal Ever!,"My husband and I have been hiking, jogging and walking with our Blaze Fitbits. We're having so much fun challenging each other, and tracking our progress. For us, this was the best deal ever!!
 
 Judy",requirement,positive
959,Singapore,1,Pointless,No point having these filters and stories when the feed is still not in order! I missed so many posts from friends and families! Pfft.,bug report,negative
960,Canada,5,Great ?????ï¿½,?ï¿½,other,positive
961,Hong Kong,5,Maps,Good,other,positive
962,Canada,1,Captions disappeared,Captions have all disappeared. Combine that with the non-chronological feed and the images seem random and pointless without description of context. Massive fail.,bug report,negative
963,Canada,4,Eh,"The new update doesn't have the ""seen"" feature. It suckss ?",requirement,negative
964,Canada,5,"Great service ""Waze""","Would like to see a single button on the main screen to push as soon as police are seen, a more detailed description could still remain on the secondary screen. Other than this this is an exceptional driving tool.",requirement,positive
965,United Kingdom,1,New update?,The new update won't update? Weird...,bug report,neutral
966,United States,2,App has pop ups,"Every time I click on a link, the app will start a pop up saying I've won a free spin. It won't let me read or watch the videos. This is getting annoying. Please fix the problem.",bug report,negative
967,United Kingdom,5,Brilliant,"This app is so helpful when calorie controlling, making dieting so much easier",other,positive
968,United Kingdom,2,Not social media,"Least social media app of all. This is about showing not sharing. But I love that it is one thing. Inspired by travellers and artists and photographers, I enjoy being a part of the latest online egotism. 
 
 Update: NON CHRONOLOGICAL ORDER IS WRONG. CHANGE IT BACK.",requirement,negative
969,United States,3,Facebook,Why can't I get the cool backgrounds for posts?!?!?!?!?!?!?!?!?!,bug report,negative
970,India,5,"Pls pls pls provide us Facebook ""lite""",Facebook lite*,requirement,neutral
971,India,2,Size matters,"Although its a daily app its a big hassle to download 250 mb apps as an update. Its a great app but the stars also matters 
 Pls see that the size is way beyond and my other handsets have a update of almost 400 mbs 
 Improve you guys otherwise peoples will not install the app. 
 I am on the brink of deleting the app cause of its size.",bug report,neutral
972,United Kingdom,1,Profile problems,"K so basically I have a fan page that I wanted to change so when I wrote my bio all it was, was I love Ariana grande and an emoji it just said feedback required so I pressed tell us and said that's all I was putting and it didn't fix it or do anything so then I didn't do anything and I then wanted to change my profile pic to an edit of Ariana grande with a purple back ground and it said the same thing I really need to change it now so plz fix it because this fan page means loaaddsss to me Thankyou Erin",bug report,neutral
973,Australia,2,Profile Pics,Makes profile pictures blurry when uploading! Crappy!!,bug report,negative
974,Canada,2,A McDonald's McFlurry Ad in my face unless I go premium!,"I have been using this app for a year as a free app and have achieved success: logging, losing and encouraging friends and family who also use the app. Today while I was recording my food entries I noticed an advertisement for McDonalds MCFlurry followed by the banner ad to go premium. I don't know if this is clever marketing to encourage me to disable ads. I imagine the paid articles from Quaker Oats and the like would still continue to appear on the front page. I will still use the app and I will still not pay for it.",bug report,neutral
975,South Africa,5,WhatsApp keenbeksÂ®,"I love the way you have integrated the security feature about the two phase log in into your application! I am for security and speed in everything l do, thank you very much now l will sleep well, but please as a suggestion make it have a built in password or code to open the messages not as an add on from other developers, thank you.",requirement,positive
976,India,5,Video call,I have iPhone 4... I am unable to enjoy the video call option ... Please provide an update for iPhone 4 too,requirement,neutral
977,United Kingdom,5,Fitbit App,Amazing app!!,other,positive
978,South Africa,5,Video Downloads,"Please enable video download, so that if u have saved ur vids u can download them again and also make privacy settings to restrict others from downloading ur vids or let select vids downloadable!",requirement,neutral
979,United Kingdom,3,Bring back the location map!,"Bring it back, I don't care for stories! I loved looking at places people had been",requirement,neutral
980,United States,1,Help Center,"Keep getting redirected to screen warning me of abusive behavior and threatening suspension. All I wanted to do was troubleshoot an issue with ""Notifications"". Can't even input text to search. Happened twice.",bug report,neutral
981,United Kingdom,5,Wow?mazing free app,"I have the paid version of Tom Tom yet I use Waze because it not only tells you routes it does so much more. I just hope I always have waze and it grows strength to strength. My words cannot compliment it enough and Waze is amazing! Maps, route diversions, where traffic is heavy has route diversions, speed. Etc... try it and you will see what I mean.",requirement,positive
982,Australia,1,Update is completely f***ed,Won't load. Freezes. Crashes. Rubbish.,bug report,negative
983,United States,2,Current update,I really dislike how the news feed is now filled with people like other peoples profile pics or statuses. The people they interact with arent close to me so I shouldnt have my facebook filled with irrelevant stuff,bug report,negative
984,Canada,2,So annoying,I'm trying to change my bio but I can't because when I'm typing it won't show my bio and what I am writing. This is very annoying as I'm trying to paste something in it. Please fix this,bug report,negative
985,Hong Kong,1,PLZ SOLVE THE PROBLEM IMMEDIATELY,"Can't login
 Can't login
 Can't login
 Almost a week ?
 (HTTPS)",bug report,negative
986,Australia,1,Video Adverts!!,Cmon mark Z surely your billions of $$$ doesn't require u to add video ads inside videos! I just watched a 4 minute video and within 3minutes I watched 2 15 second ads!!! Really???? U get enough advertisements! Leave them out of the videos!,bug report,negative
987,India,5,Awesome,Magnificent,other,positive
988,Australia,3,It's alright,"Annoying with all the ""we found this for you"" prompting a look through
 
 But good artwork for tattoo ideas",bug report,negative
989,Hong Kong,1,,,noise,neutral
990,Australia,3,Less than impressed with the new update,"GIVE ME BACK MY NOTIFICATIONS. I'M MISSING IMPORTANT THINGS. 
 NO NEW NOTIFICATIONS. JUST MY DAMN NOTIFICATIONS!!",requirement,negative
991,United States,1,Keeps crashing,"Worst update ever it always crashes especially while watching videos 
 
 Return the online list by swiping the right side of screen and remove this stupid useless stories ?",requirement,negative
992,Canada,5,Great app!,"Works great, love the features!",other,positive
993,India,1,Too much unwanted frequent updates,This is rediculous that app required frequent update of more than 200 mb a week.one can not use without update.stupid app,bug report,negative
994,Canada,5,!,Very good Socal media app,other,positive
995,South Africa,3,Dislike this version,"The old version was much better, I mean seriously, why would you take away the like button? Please bring it back, it was fast and convenient, and now I'm sitting with a 1000+ pins on a board I don't even want.",requirement,negative
996,Canada,2,Look very bad on 12.9 iPad,Guess I have to use safari until they match the 12.9 display.,bug report,negative
997,Australia,1,Bad app! Sad app!,This app has been ruined by in the last few updates. Stop repeat of posts ffs! Bring back chronological order. Stop repeat of posts ffs! Stop with the ads. Stop repeat of posts ffs! Really...Stop repeat of posts ffs! See how annoying it is?,requirement,negative
998,India,1,Seriously 650mb..???,"Why does a social messenger app needs 650Mb??? Every other app is trying to reduce file size in new updates and you guys are increasing size in every update, which by the way is every f****** week.",bug report,negative
999,Hong Kong,1,Garbage,Force update,bug report,negative
1000,United States,5,Insta,Instagram is an amazing way to connect with long lost friend chat and hangout instagram is also a great way to meet new people!ï¿½,requirement,positive
1001,United States,5,Directions used to challenge me,Love this app #proudwazer cheers,other,positive
1002,India,2,Too many frequent updates,It is on an average 200 MBs update every week!!! The description of update is so obscure. You can not download on mobile network ï¿½,bug report,negative
1003,Canada,5,Awesome,It's cool follow @andywandyhd for free fidget spinner,other,positive
1004,South Africa,1,Where did the Like button and my Liked pins disappear to?!?!,"If you're going to discontinue a feature (I'm assuming that is what happened to the Like icon and ALL my likes) please notify users so that they can prepare for it rather than losing information. 
 What a frustrating idea to make it just go away!! Please return the Like option!!!",requirement,negative
1005,United Kingdom,1,Can't follow anybody,Tried updating app. Resetting phone. Haven't been able to follow anybody for the last 5-7 days had serious impact on my Instagram business haven't received any followers for almost a week lost a lot of earning because of this. Can you rectify quickly please Instagram as I won't be using your promotion if this continues.,bug report,neutral
1006,Canada,4,Instagram live,"I'm able to watch people go Live on Instagram and that's great. As for me, I can't go Live on Instagram because my phone is an iPhone 4s. Would it be possible if u could give that access to Instagram live with older generation phones. Please and thank u.",requirement,neutral
1007,South Africa,5,Perfect,As usual!,other,positive
1008,Canada,1,Can't like pictures,Can't like peoples pictures in comments unless they put a comment in as well,bug report,neutral
1009,Australia,1,:/,The new version is always crashing and the videos I play don't have any sound!!!,bug report,negative
1010,United States,1,It gets frozen and cant search up people,I have no idea if it's my phone or Instagram .. but it lags and the app gets frozen & wont let me search up people on my followers.,bug report,neutral
1011,Australia,4,Good,Good,other,positive
1012,Canada,2,Hate the Ads!,I hate getting ads every third photo! I don't have Instagram so I can do all my shopping on it! I use it to share and look and pictures for Pete sake!!! Get rid of those sinking ads!!!!,bug report,negative
1013,Hong Kong,5,good,good,other,positive
1014,India,5,Love it,You are my life book,other,positive
1015,South Africa,5,#loveinstagram,Absolutely LOVE instagram.,other,positive
1016,Hong Kong,1,Can't see any status from pages/friends,Fix it!!!!,bug report,neutral
1017,Hong Kong,1,.,.,noise,neutral
1018,Australia,5,Great app,Keeps me close to family friends abroad and close by. Only thing now is whatsapp video calls N need for IPhone now! Then best app all time.,other,positive
1019,Hong Kong,3,,ï¼Œ ã€‚,noise,neutral
1020,South Africa,5,Mr,"Easy and Fun To Use,Pleasant app to communicate with the whole world.",other,positive
1021,United States,5,It's my life!,â¤ï¸â¤ï¸â¤ï¸â¤ï¸â¤ï¸,other,positive
1022,Canada,1,Will not load,With the newest update my Instagram will no longer work. I have even tried deleting it and reinstalling it. All it keeps telling me is that the feed will not load and something went wrong.,bug report,neutral
1023,United Kingdom,5,Love,I'm totally in love with this app. But please bring back the heart like button! It was much better then with it as I could come back and sort through them later. Now it takes twice as long.,requirement,positive
1024,United States,1,NO,"all we want is chronological order, not another snapchat",requirement,negative
1025,Canada,5,Great commuting app,Great for quick traffic info!,requirement,positive
1026,United Kingdom,5,Love it!!,Love it!!,other,positive
1027,Australia,1,App not loading,The whole app isn't loading pages for me. It's not my internet cause all of my other apps work perfectly fine except Facebook.,bug report,neutral
1028,India,5,New user,I am loving it,other,positive
1029,Singapore,5,More updates,Would like to be able to set passwords for chats,requirement,neutral
1030,Canada,5,My favorite photo collage maker,This is my favorite app!!,requirement,positive
1031,Canada,1,Laggy and crashes way too much,I used to love Instagram but now all of my DMs and group chats lag and freeze all the time. This app keeps crashing right when I open it and I barely get to use it anymore.. Also my post notifications are not notifying me properly! Please fix this bcuz this app was my fav now it's just annoying,bug report,negative
1032,United Kingdom,1,Supporters of thieves,"I've never liked the app much to begin with. But after discovering that is basically impossible to report someone for intellectual property theft, but as always super easy for them to do it and get away with it. Instagram IS NOT dedicated to helping you, they want to make as difficult as possible for you to do anything about having your work stolen. But do NOTHING to actually help you whatsoever. I don't need to learn more I need to REPORT SOMEONE FOR STEALING MY WORK! Why is there not just a button like all the other options?! 
 Useless app, useless ""help"", useless company who aids a abets thieves.",requirement,negative
1033,Singapore,1,Cannot Comment.,Newsfeed will not load at all,bug report,neutral
1034,Australia,3,Can't like or comment anything,I'm having an issue where there's a problem that won't let me like or comment anything. I deleted and redownloaded the app last night and it fixed it for a little bit that's it. Help.,requirement,neutral
1035,India,5,Helpful,Greatjobï¿½,other,positive
1036,Hong Kong,1,,"ï¼
  ï¼
  ï¼
 
  
  
  ï¼",noise,neutral
1037,United States,5,An ANNOYING glitch,There is a glitch going on in the DM section where if you send a photo it will send twice! Of course you can just unsend one but it gets really annoying,bug report,negative
1038,United Kingdom,5,Easy to post on the go,"Don't hold yourself, post that amazing image straight away!",other,positive
1039,Singapore,4,Reacts,"Bring back the grateful react and please allow me to react to comments. While you're at it, make it so I don't have to add a surname cuz it looks autistic to have 'ShÃ¤rk' as a surname. Thanks!",requirement,neutral
1040,Australia,5,Saweeeet,ï¿½,noise,neutral
1041,United Kingdom,1,Who gave you permission?,"Who gave your app permission to automatically increase the volume of my phone whilst using your app? I turn it back down and 20 seconds later it increases it.
 Facebook revenue perhaps???",bug report,negative
1042,Singapore,1,Failure of notification,"After update of the new version, my fb notification was hang and not update. Its so troublesome till i haf to always rely in my email . Pls kindly fix the issue asap",bug report,negative
1043,United States,5,Mr,I like the updated,requirement,positive
1044,India,5,Super App,Wow,other,positive
1045,Canada,5,Accurate tracking,Really great tool to help tracking your food intake and activity. Also enjoy the information provided within the app.,requirement,positive
1046,India,1,Not working,"After updating to latest version I am not able to access insta, it's almost a week now. Guys need your help",bug report,neutral
1047,United States,1,please fix this!,"i have 3 accounts added to my 'add account' thing on my instagram and recently something happened where my feed from one account was being shown on a different account that's also added there and it's like that for all of them. i'm not sure why it's doing this but i've deleted the app and downloaded it back, that didn't work and i also logged out of each account and logged back into them and that didn't work either. this is really annoying!",requirement,negative
1048,Australia,5,None compare to this one,Has always been an enjoyable Collage. Photo Collage Maker was a great addition.,requirement,positive
1049,India,3,Face filters,Face filters are not available for iphone 5s even after update....plz do the needed..,requirement,neutral
1050,United Kingdom,5,Getting fit a fair bit more now ï¿½,"This is my first ever review of a product but I love my new Fitbit HR special edition so much that pretty much straight away it has got me thinking about my lifestyle, eating healthier, drinking far more water than I used too and increased my activity levels. Some more prompts/messages of encouragement randomly would be great especially for those who need it but overall I am over the moon with mines, the technology and quality... Thanks!",requirement,positive
1051,United States,5,Works for me,Works,other,neutral
1052,United Kingdom,3,"lacking iPad Pro 12.9"" support","can we get screen resolution support for the 12.9"" iPad Pro please? I'd rate this app 5 stars if it was supported. (It's been out for 18 months!!)",requirement,neutral
1053,India,5,Great social app,I love using this app. Waiting for an update consisting features like 'people unfollowed you' ï¿½,requirement,positive
1054,India,4,Camera not working,I have updated the latest version but than also I m not getting the camera facility working on my application which I have seen in many phones by sliding on right side so please look into this matter,bug report,neutral
1055,India,1,Update....update.....update????,"Every 4 or 5 days my app store showing 250mb update available for facebook.....
 What the hell. last 4 times every 4-5 days update available. I think facebook tech. Team is very brilliant or interested to earn more.....
 Less then a star i want to give.",bug report,negative
1056,United Kingdom,5,Instagram,"I have used Instagram for a very long time now and still love it. 
 A place to share some special photos, memories etc and a place to catch up on what other people are up to too!",other,positive
1057,United States,4,All around good app,"Waze is a fast, usually reliable mapping app. I work EMS so fast and efficient is very important to the patients and myself. There are times where it times out or freezes but that is usually due lack of signal.",requirement,positive
1058,Canada,1,Can't see all photos in an album,"The new way for viewing sale posts on facebook doesnt allow me to see all the pictures in an album. If there are 24 pictures, it only shows me 10",bug report,neutral
1059,United States,1,Facebook for IPhone,The new update for iPhone Facebook is not any good. They took away the button on home page to see what friends are online. Now you have to go to the messaging center to see who's online. Also the camera button they added is in a stupid place.,bug report,negative
1060,United Kingdom,5,"Very nicely designed app, well thought out!","Really found this app well developed, with a definitely sufficient amount of features! The app is very friendly and gives you encouragement along the way, which is nice as it feels like they're supporting you to your goal. Works great for me (a happy owner of a Fitbit Blaze) Thanks, keep up the great work ??",requirement,positive
1061,United Kingdom,5,Great!!!,Super easy to use and great for inspiration,requirement,positive
1062,South Africa,1,Seriously?!,Why did I get billed R29 to update whatsapp?,bug report,negative
1063,Hong Kong,1,,ï¼Œ ï¼Ÿ,noise,neutral
1064,Canada,5,Easy to use,Easy to use and stay on track. I'm not very tech savvy so this app is simple and perfect.,requirement,positive
1065,United Kingdom,5,Instagram,Instagram is the best I use it everyday if,other,positive
1066,India,1,Without messenger msg r not show,Stupid app I'm uninstall this app,bug report,negative
1067,Hong Kong,1,,7plus,noise,neutral
1068,Canada,5,easy to usevery useful,"EasyActually works and very useful to get more followers This app is truly amazing and whenever i need, itâ€™s right there for me to install and to use and best of all it is 100% real instalikes and does not glitch at all i would definitely rate this app five to use affordable app Iâ€™ve been used so many â€œget likesâ€ app and this one is the best yet. Take your time and do some tasks. BOOM!!! There are more free likes.",other,neutral
1069,United States,2,Buggy,Constantly buggy. Not impressed by any means,bug report,negative
1070,Canada,2,The ads are killing Instagram,"Instagram is my fave guilty pleasure. I love scrolling past all the beautiful pictures. Every few months I get inundated with ads. My ratio was about 3 posts to 1 ad a couple of days ago. I am not unreasonable, I understand that ultimately Instagram is a business that needs to make profits but there is such thing as too much. Just be cool, chill out and spread the ads out a bit thinner. Don't try so hard-it is backfiring. I've had a few friends leave Instagram. I don't want to break up with you as well.",bug report,neutral
1071,Australia,2,Doesn't sync properly,This app used to be great. The current version doesn't sync properly at all. I usually have to log out of the app and close it down and then log in again for it to work. Still doesn't show the distance over the hours when you click on it. NEEDS A SERIOUS UPGRADE TO FIX BUGS!,bug report,negative
